"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-15","0.37",",,N","0.0","T,,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-16","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-17","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-18","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-19","0.34",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-20","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-21","0.45",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-22","0.69",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-23","0.14",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-24","0.05",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-25","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-26","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-27","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-28","0.17",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-29","0.11",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-03-30","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-01","0.52",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-02","0.02",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-03","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-04","0.07",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-05","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-06","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-07","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-08","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-09","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-10","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-11","0.28",",,N",,,"0.0","T,,N",,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-12","1.32",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-13","0.05",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-14","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-15","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-16","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-17","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-18","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-19","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-20","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-21","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-22","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-23","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-24","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-25","1.11",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-26","1.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-27","0.39",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-28","0.04",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-29","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-04-30","0.19",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-01","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-02","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-03","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-04","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-05","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-06","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-07","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-08","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-09","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-10","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-11","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-12","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-13","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-14","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-15","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-16","0.73",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-17","0.04",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-18","0.00",",,N","0.0",",,N",,,,,,
"US1ILCK0014","CHICAGO 5.5 ESE, IL US","41.8008","-87.5903","182.9","2007-05-19","0.00",",,N","0.0",",,N",,,,,,
